tokens_per_sec,prompt_tokens,generated_tokens,total_time_ms,prompt_time_ms,generation_time_ms,memory_mb,model,threads,n_tokens,timestamp
10.52,0,0,3375.64,420.28,2946.99,0,phi-2.Q4_K_M.gguf,4,32,2026-01-05T19:26:57.435806
15.35,0,0,4412.59,296.22,4105.54,0,phi-2.Q4_K_M.gguf,4,64,2026-01-05T19:27:05.878823
12.37,0,0,475.71,392.74,80.81,0,phi-2.Q4_K_M.gguf,4,128,2026-01-05T19:27:10.234666
13.96,0,0,3196.44,394.0,2794.58,0,phi-2.Q4_K_M.gguf,4,256,2026-01-05T19:27:17.191019
15.17,0,0,5919.32,302.81,5602.1,0,phi-2.Q4_K_M.gguf,4,512,2026-01-05T19:27:26.862337
16.4,0,0,2364.87,285.87,2072.65,0,phi-2.Q4_K_M.gguf,4,1024,2026-01-05T19:27:33.187640
