tokens_per_sec,prompt_tokens,generated_tokens,total_time_ms,prompt_time_ms,generation_time_ms,memory_mb,model,threads,n_tokens,timestamp,config
12.98,0,0,5173.95,308.2,4852.94,0,phi-2.Q4_K_M.gguf,4,64,2026-01-05T19:30:48.425815,mmap_enabled
11.84,0,0,833.22,407.33,422.19,0,phi-2.Q4_K_M.gguf,4,64,2026-01-05T19:30:53.192640,mmap_disabled
